Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,38700.0,39400.0,36850.0,38750.0,33474.0625,47177112
2019-01-07,38000.0,40700.0,37950.0,40050.0,34597.05078125,68587020
2019-01-14,40050.0,42750.0,39850.0,42750.0,36929.4375,54106211
2019-01-21,42750.0,45500.0,41350.0,45050.0,38916.29296875,76571367
2019-01-28,45050.0,47050.0,44350.0,46350.0,40039.28125,69174596
2019-02-04,46350.0,47100.0,44250.0,45000.0,38873.09765625,39686241
2019-02-11,44650.0,47500.0,44650.0,46200.0,39909.71875,60481817
2019-02-18,45850.0,47550.0,45450.0,47350.0,40903.14453125,41322612
2019-02-25,47350.0,47450.0,44800.0,44850.0,38743.51953125,52526618
2019-03-04,44600.0,45100.0,43400.0,43650.0,37706.91015625,50311175
2019-03-11,44300.0,44950.0,43450.0,43700.0,37750.09765625,62582520
2019-03-18,43750.0,47000.0,43100.0,45500.0,39305.03125,59829460
2019-03-25,45500.0,45700.0,44200.0,45050.0,38916.29296875,44973040
2019-04-01,45550.0,47550.0,45350.0,46650.0,40615.484375,51621674
2019-04-08,46700.0,47500.0,46000.0,47050.0,40963.73828125,48862110
2019-04-15,47400.0,47600.0,45100.0,45350.0,39483.65234375,40539953
2019-04-22,45050.0,46150.0,43800.0,46150.0,40180.17578125,49606297
2019-04-29,46000.0,46300.0,45300.0,45300.0,39440.109375,26309315
2019-05-06,45250.0,45300.0,42350.0,42650.0,37132.9140625,67657970
2019-05-13,41300.0,43100.0,40850.0,42000.0,36566.98828125,62032091
2019-05-20,42600.0,44000.0,42350.0,42650.0,37132.9140625,64137452
2019-05-27,42550.0,43900.0,41300.0,43800.0,38134.16015625,78036096
2019-06-03,43400.0,44850.0,43000.0,44800.0,39004.80078125,42853496
2019-06-10,44800.0,45050.0,43300.0,43900.0,38221.21484375,53392149
2019-06-17,43750.0,45800.0,43650.0,45500.0,39614.25390625,41100382
2019-06-24,45200.0,47400.0,45200.0,46600.0,40571.94921875,53239158
2019-07-01,46200.0,46900.0,44350.0,44400.0,38958.30859375,39557252
2019-07-08,44850.0,46650.0,44700.0,46450.0,40757.0625,37853132
2019-07-15,46450.0,47300.0,45650.0,47200.0,41415.14453125,35596482
2019-07-22,47350.0,47550.0,46000.0,46100.0,40449.97265625,40957473
2019-07-29,46300.0,46850.0,43600.0,43950.0,38563.4765625,52600571
2019-08-05,42500.0,44000.0,42500.0,43700.0,38344.109375,60164554
2019-08-12,43500.0,44350.0,42950.0,43600.0,38256.3671875,31569447
